sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;>50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Male;[51, 60];Black;Spouse not present;Secondary education;North America;Non-Government;Technical;<=50K
*;*;*;*;*;*;*;*;*
Female;[61, 70];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Female;[71, 80];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Female;[51, 60];Black;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Government;Technical;>50K
Male;[61, 70];White;Spouse not present;Secondary education;North America;Non-Government;Technical;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Female;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Government;Nontechnical;<=50K
Female;[51, 60];White;Spouse present;Higher education;North America;Government;Technical;>50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Technical;>50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
*;*;*;*;*;*;*;*;*
Male;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse not present;Higher education;North America;Government;Other;<=50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Female;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
*;*;*;*;*;*;*;*;*
Male;[71, 80];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Other;>50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Female;[51, 60];Black;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;>50K
Female;[51, 60];White;Spouse present;Higher education;North America;Government;Technical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;>50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Higher education;Europe;Non-Government;Nontechnical;>50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Other;>50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;<=50K
Female;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Other;>50K
Female;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
*;*;*;*;*;*;*;*;*
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Technical;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse not present;Secondary education;North America;Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Female;[61, 70];Black;Spouse not present;Secondary education;North America;Government;Other;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;<=50K
Female;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Female;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Government;Technical;>50K
*;*;*;*;*;*;*;*;*
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Other;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;>50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Other;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
*;*;*;*;*;*;*;*;*
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;>50K
Male;[61, 70];White;Spouse present;Higher education;North America;Government;Other;<=50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
*;*;*;*;*;*;*;*;*
Female;[51, 60];Black;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;<=50K
Female;[51, 60];Black;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Male;[61, 70];White;Spouse not present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
Female;[51, 60];White;Spouse not present;Secondary education;North America;Government;Other;<=50K
Female;[61, 70];Black;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;*;*;*;*;*
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;<=50K
*;*;*;*;*;*;*;*;*
Female;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Other;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse present;Higher education;North America;Non-Government;Other;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Government;Other;<=50K
Female;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Other;>50K
Male;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Female;[61, 70];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
*;*;*;*;*;*;*;*;*
Male;[71, 80];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Other;>50K
Male;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Other;>50K
Female;[61, 70];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Male;[61, 70];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Female;[61, 70];White;Spouse not present;Secondary education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Other;<=50K
Female;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;<=50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
*;*;*;*;*;*;*;*;*
Female;[51, 60];Black;Spouse not present;Secondary education;North America;Government;Other;<=50K
Male;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Technical;<=50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Other;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Technical;<=50K
Male;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Government;Technical;>50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Nontechnical;<=50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
Male;[51, 60];White;Spouse present;Higher education;North America;Non-Government;Nontechnical;>50K
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;>50K
Female;[61, 70];White;Spouse not present;Secondary education;North America;Government;Other;<=50K
Female;[61, 70];White;Spouse not present;Higher education;North America;Non-Government;Other;<=50K
*;*;*;*;*;*;*;*;*
Male;[51, 60];White;Spouse present;Secondary education;North America;Non-Government;Technical;>50K
Female;[51, 60];White;Spouse not present;Higher education;North America;Non-Government;Other;>50K
Male;[51, 60];White;Spouse present;Higher education;North America;Government;Technical;>50K
Male;[51, 60];White;Spouse not present;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;[61, 70];White;Spouse present;Higher education;North America;Government;Other;<=50K
*;*;*;*;*;*;*;*;*
*;*;*;*;*;*;*;*;*
